[22Nov2025 15:53:14.108] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_userdev_data, --assetIndex, 18, --assetsDir, C:\Users\Joshua Davies\.gradle\caches\forge_gradle\assets, --gameDir, ., --mod, cinchsmissingblocks, --all, --output, C:\Users\Joshua Davies\IdeaProjects\Forge-Cinchs_Missing_Blocks-1.21.3\src\generated\resources, --existing, C:\Users\Joshua Davies\IdeaProjects\Forge-Cinchs_Missing_Blocks-1.21.3\src\main\resources]
[22Nov2025 15:53:14.113] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.6+7-LTS
[22Nov2025 15:53:14.113] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.4 starting: java version 21.0.6 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[22Nov2025 15:53:14.280] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_userdev_data
[22Nov2025 15:53:14.421] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///C:/Users/Joshua%20Davies/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.7/8ab114ac385e6dbdad5efafe28aba4df8120915f/mixin-0.8.7.jar!/ Service=ModLauncher Env=UNKNOWN
[22Nov2025 15:53:15.539] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[22Nov2025 15:53:16.647] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_userdev_data' with arguments [--gameDir, ., --assetsDir, C:\Users\Joshua Davies\.gradle\caches\forge_gradle\assets, --assetIndex, 18, --mod, cinchsmissingblocks, --all, --output, C:\Users\Joshua Davies\IdeaProjects\Forge-Cinchs_Missing_Blocks-1.21.3\src\generated\resources, --existing, C:\Users\Joshua Davies\IdeaProjects\Forge-Cinchs_Missing_Blocks-1.21.3\src\main\resources]
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:root
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sound_event
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:fluid
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:attribute
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:particle_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:mob_effect
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:enchantment_effect_component_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:data_component_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:entity_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:item
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:game_event
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:potion
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block_entity_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:stat_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:custom_stat
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:chunk_status
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_test
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_block_entity_modifier
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:pos_rule_test
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:menu
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_serializer
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:position_source_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:command_argument_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_profession
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:point_of_interest_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:memory_module_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sensor_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:activity
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:schedule
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_score_provider_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_number_provider_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:map_decoration_type
[22Nov2025 15:53:21.519] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:loot_nbt_provider_type
